length	num_GC	number_of_fragments	GC_content	number_of_positions	GC_bias	smoothed_GC_bias
150	48	250	0.32	115588768	0.9202302728034203	0.8862139522735544
150	49	269	0.32666666666666666	120822616	0.9472752440353117	0.9294569746215293
150	50	304	0.3333333333333333	125321968	1.0320922565446462	0.9595762440502633
150	51	310	0.34	129145722	1.0213011279767172	1.0301018322079651
150	52	368	0.3466666666666667	132125340	1.1850422736941049	1.0740726698600438
150	53	385	0.35333333333333333	134240194	1.2202541707058538	1.1068482311454408
150	54	341	0.36	135455723	1.0710978871462251	1.1525848677544448
150	55	397	0.36666666666666664	135806027	1.2437801027293596	1.2043084028202145
150	56	416	0.37333333333333335	135155062	1.3095833862298083	1.2739739296683241
150	57	402	0.38	133543303	1.2807845548310215	1.3258521133916712
150	58	427	0.38666666666666666	131265499	1.3840424911231575	1.3858560683581187
150	59	469	0.3933333333333333	128426589	1.553781825227062	1.4286382800280424
150	60	444	0.4	125155031	1.5094085311931298	1.4636661821843167
150	61	479	0.4066666666666667	121654996	1.6752425950882595	1.5161219680976745
150	62	455	0.41333333333333333	118104331	1.63914628996599	1.5615231695948368
150	63	410	0.42	114531132	1.5231141254748801	1.5923499421032956
150	64	438	0.4266666666666667	110992957	1.6790005217079582	1.6416851510858352
150	65	428	0.43333333333333335	107710793	1.690661597566392	1.6860263972129965
150	66	432	0.44	104447572	1.759776607393778	1.7067447945207326
150	67	423	0.44666666666666666	101346989	1.7758311073092652	1.7530661101280507
150	68	397	0.4533333333333333	98510213	1.7146733223825856	1.7725978433147616
150	69	406	0.46	95977007	1.7998278735621922	1.7836585332075485
150	70	436	0.4666666666666667	93801759	1.9776418738675443	1.801597439959603
150	71	361	0.47333333333333333	92035191	1.668881215098868	1.8032720251252288
150	72	334	0.48	90700501	1.5667832614165393	1.801597439959603
150	73	366	0.4866666666666667	89641553	1.7371761403791102	1.8099996967774756
150	74	404	0.49333333333333335	88764926	1.9364759697044802	1.8003231048232677
150	75	365	0.5	87691740	1.7709500794954098	1.8211036871614164
150	76	357	0.5066666666666667	85903772	1.7681867200404422	1.849452673414437
150	77	327	0.5133333333333333	83124585	1.6737492864550703	1.8721752408881422
150	78	343	0.52	78983595	1.8476910930078776	1.9140841788267713
150	79	320	0.5266666666666666	73557694	1.850947133991906	1.9346136063189934
150	80	281	0.5333333333333333	67160175	1.7801911722959032	1.9663984821343874
150	81	307	0.54	60348761	2.1644230964385787	2.0054714317440085
150	82	240	0.5466666666666666	53523356	1.9078316421202213	2.0245379091826075
150	83	198	0.5533333333333333	47075500	1.7895440417976187	2.066863443120209
150	84	187	0.56	41291570	1.9268697234137413	2.1147803207075326
150	85	171	0.5666666666666667	36181190	2.010876533375532	2.1857805791994833
150	86	160	0.5733333333333334	31797929	2.1408847552989	2.2480858804935524
150	87	142	0.58	28017771	2.156387995086473	2.2870389184623416
150	88	124	0.5866666666666667	24792114	2.128042353338123	2.3328462846017235
150	89	127	0.5933333333333334	22043109	2.4513369698849123	2.3618176460483697
150	90	99	0.6	19665156	2.141953019331344	2.429617771266769
150	91	102	0.6066666666666667	17608754	2.464584357981133	2.469338631894848
150	92	79	0.6133333333333333	15790973	2.1285817909415585	2.4982124710723235
150	93	77	0.62	14156236	2.3142755829284414	2.5562748156146573
150	94	73	0.6266666666666667	12701305	2.445381697771856	2.5778450680386022
150	95	68	0.6333333333333333	11339281	2.5514997921495324	2.5915250574476145
150	96	59	0.64	10078518	2.490734739797825	2.5971153096174286
150	97	50	0.6466666666666666	8932028	2.3817274981594605	2.611592260439714
150	98	51	0.6533333333333333	7879795	2.753768319603347	2.611592260439714
150	99	44	0.66	6913025	2.708050079046238	2.561971072734929
150	100	35	0.6666666666666666	6030242	2.469479614806698	2.508101565970294
150	101	35	0.6733333333333333	5250875	2.8360148911088485	2.4190674956436444
150	102	29	0.68	4559511	2.706150042651404	2.374853469173745
150	103	20	0.6866666666666666	3943667	2.157753857202472	2.3440630003947436
150	104	14	0.6933333333333334	3432046	1.73558975507335	2.26924692710131
150	105	19	0.7	2993751	2.700287881902501	2.175948135008069
150	106	14	0.7066666666666667	2610697	2.281622063587031	2.091113541726624
150	107	9	0.7133333333333334	2286350	1.6748346518894506	2.091113541726624
150	108	7	0.72	2014719	1.4782765925522294	1.938082345707044
150	109	9	0.7266666666666667	1766174	2.168109261232158	1.8760291769350486
150	110	8	0.7333333333333333	1567189	2.1719046473072745	1.822727019393304
150	111	4	0.74	1396622	1.2185777799250048	1.859818168948832
150	112	0	0.7466666666666667	1260012	0.0	1.7595245151330927
150	113	6	0.7533333333333333	1146216	2.2271882474434403	1.5491612811773128
150	114	7	0.76	1042185	2.8577574406369646	1.5491612811773128
150	115	4	0.7666666666666667	961775	1.769532932499202	1.524790423001587
150	116	3	0.7733333333333333	890226	1.4338150111497698	1.507901513985354
150	117	2	0.78	822624	1.0344291779442492	1.4743015068999532
150	118	6	0.7866666666666666	754601	3.3830313029423897	1.4743015068999532
150	119	1	0.7933333333333333	688467	0.6180007669773643	1.4453381968778967
150	120	5	0.8	614353	3.4627741220324877	1.514118110469255
150	121	0	0.8066666666666666	537919	0.0	1.3507287443895
150	122	1	0.8133333333333334	457768	0.9294514558435824	1.3507287443895
150	123	2	0.82	385790	2.205724015856321	1.283502919741642
150	124	0	0.8266666666666667	322670	0.0	1.0608945333766637
150	125	1	0.8333333333333334	266411	1.5970554295378383	0.84299208035531
150	126	0	0.84	211954	0.0	0.0
150	127	0	0.8466666666666667	165780	0.0	0.0
150	128	0	0.8533333333333334	127600	0.0	0.0
150	129	0	0.86	95175	0.0	0.0
150	130	0	0.8666666666666667	72029	0.0	0.0
150	131	0	0.8733333333333333	51826	0.0	0.0
150	132	0	0.88	39207	0.0	0.0
150	133	0	0.8866666666666667	27753	0.0	0.0
150	134	0	0.8933333333333333	20443	0.0	0.0
150	135	0	0.9	13558	0.0	0.0
150	136	0	0.9066666666666666	9736	0.0	0.0
150	137	0	0.9133333333333333	7018	0.0	0.0
150	138	0	0.92	4250	0.0	0.0
150	139	0	0.9266666666666666	2773	0.0	0.0
150	140	0	0.9333333333333333	2046	0.0	0.0
150	141	0	0.94	1261	0.0	0.0
150	142	0	0.9466666666666667	756	0.0	0.0
